Response,Sentiment,Emotion,Psychological_State
stressed about what hes missed out on in life freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Negative,Excited,Reflective
bogged down by the heaviness of it all like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Negative,Calm,FOMO
bogged down by the heaviness of it all not sure whats legit anymore pumped to make every second count cant tell if thats freeing or scary makes me stress about not treasuring it enough inspired to live with more purpose stressed im not keeping up with life anxious my lifes not instaworthy,Neutral,Sad,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations a kick to rethink how i roll,Neutral,Excited,Purpose-Driven
bogged down by the heaviness of it all freaked out that i might be losing the real stuff pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose stressed im not keeping up with life a kick to rethink how i roll,Negative,Anxious,Purpose-Driven
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Negative,Anxious,Reflective
bogged down by the heaviness of it all like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Positive,Anxious,Disconnected
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about like a nudge to fix whats broken anxious my lifes not instaworthy,Positive,Anxious,FOMO
searching for meaning in his past like my past is just a remix i made up pumped to make every second count anxious im running out of chances pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Calm,FOMO
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online ready to own my path not sure what to focus on anymore,Positive,Excited,Reflective
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Neutral,Anxious,Reflective
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today mixed up about whats worth caring about overloaded by all the expectations a kick to rethink how i roll,Negative,Happy,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Negative,Anxious,Overwhelmed
kinda detached just observing his own memories worried how my past looks to others like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Calm,FOMO
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur cant tell if thats freeing or scary pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Negative,Sad,Disconnected
searching for meaning in his past like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Positive,Happy,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Positive,Sad,Overwhelmed
bogged down by the heaviness of it all like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Negative,Excited,Overwhelmed
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever cant tell if thats freeing or scary samemy past isnt who i am mixed up about whats worth caring about like a nudge to fix whats broken anxious my lifes not instaworthy,Neutral,Anxious,Disconnected
searching for meaning in his past not sure whats legit anymore pumped to make every second count feels like a chill acceptance of lifes flow pushes me to build better moments today mixed up about whats worth caring about stressed im not keeping up with life anxious my lifes not instaworthy,Neutral,Sad,Disconnected
stressed about what hes missed out on in life not sure whats legit anymore panicked theres not enough time to do it all cant tell if thats freeing or scary samemy past isnt who i am creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Negative,Sad,Overwhelmed
stressed about what hes missed out on in life freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Positive,Sad,Reflective
kinda detached just observing his own memories not sure whats legit anymore panicked theres not enough time to do it all anxious im running out of chances pushes me to build better moments today mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Positive,Happy,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Negative,Calm,Reflective
stressed about what hes missed out on in life freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Neutral,Happy,Purpose-Driven
stressed about what hes missed out on in life not sure whats legit anymore pumped to make every second count anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away overloaded by all the expectations lifes short and kinda unsettling,Positive,Anxious,Reflective
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life a kick to rethink how i roll,Positive,Excited,Reflective
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever fired up to shake things up now makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken lifes short and kinda unsettling,Neutral,Happy,Reflective
searching for meaning in his past like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Happy,Overwhelmed
searching for meaning in his past freaked out that i might be losing the real stuff pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations a kick to rethink how i roll,Negative,Sad,Reflective
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Neutral,Calm,Reflective
stressed about what hes missed out on in life like my past is just a remix i made up like times this big meaningless blur cant tell if thats freeing or scary samemy past isnt who i am nervous about how my life stacks up online ready to own my path a kick to rethink how i roll,Positive,Sad,Disconnected
stressed about what hes missed out on in life like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Positive,Sad,Reflective
bogged down by the heaviness of it all worried how my past looks to others panicked theres not enough time to do it all feels like a chill acceptance of lifes flow pushes me to build better moments today nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Negative,Sad,Purpose-Driven
searching for meaning in his past like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Positive,Anxious,Reflective
bogged down by the heaviness of it all like my past is just a remix i made up panicked theres not enough time to do it all anxious im running out of chances makes me stress about not treasuring it enough creeped out by how fast time slips away like a nudge to fix whats broken lifes short and kinda unsettling,Negative,Calm,Reflective
stressed about what hes missed out on in life freaked out that i might be losing the real stuff pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online like a nudge to fix whats broken anxious my lifes not instaworthy,Positive,Happy,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Negative,Anxious,Disconnected
searching for meaning in his past freaked out that i might be losing the real stuff like times this big meaningless blur fired up to shake things up now samemy past isnt who i am creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Negative,Sad,FOMO
searching for meaning in his past not sure whats legit anymore pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away ready to own my path lifes short and kinda unsettling,Negative,Happy,Disconnected
searching for meaning in his past like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Anxious,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Negative,Calm,Overwhelmed
stressed about what hes missed out on in life not sure whats legit anymore pumped to make every second count anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away overloaded by all the expectations lifes short and kinda unsettling,Neutral,Calm,Reflective
stressed about what hes missed out on in life like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Neutral,Sad,FOMO
kinda detached just observing his own memories worried how my past looks to others panicked theres not enough time to do it all cant tell if thats freeing or scary makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Positive,Calm,Purpose-Driven
searching for meaning in his past like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Anxious,Purpose-Driven
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations not sure what to focus on anymore,Neutral,Anxious,Overwhelmed
bogged down by the heaviness of it all not sure whats legit anymore pumped to make every second count cant tell if thats freeing or scary makes me stress about not treasuring it enough inspired to live with more purpose stressed im not keeping up with life anxious my lifes not instaworthy,Neutral,Excited,Overwhelmed
kinda detached just observing his own memories not sure whats legit anymore panicked theres not enough time to do it all anxious im running out of chances pushes me to build better moments today mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Neutral,Happy,Reflective
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Positive,Happy,Overwhelmed
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Negative,Happy,Overwhelmed
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Positive,Anxious,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations not sure what to focus on anymore,Negative,Calm,Disconnected
kinda detached just observing his own memories worried how my past looks to others panicked theres not enough time to do it all anxious im running out of chances pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations lifes short and kinda unsettling,Negative,Calm,Reflective
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online ready to own my path not sure what to focus on anymore,Neutral,Happy,Purpose-Driven
bogged down by the heaviness of it all like my past is just a remix i made up pumped to make every second count fired up to shake things up now makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Negative,Sad,Overwhelmed
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Neutral,Anxious,Purpose-Driven
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life a kick to rethink how i roll,Negative,Anxious,FOMO
searching for meaning in his past like my past is just a remix i made up like times this big meaningless blur feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations not sure what to focus on anymore,Negative,Happy,Disconnected
searching for meaning in his past worried how my past looks to others pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose ready to own my path a kick to rethink how i roll,Neutral,Happy,FOMO
stressed about what hes missed out on in life freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Negative,Happy,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur cant tell if thats freeing or scary pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Negative,Calm,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Negative,Calm,Purpose-Driven
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life a kick to rethink how i roll,Neutral,Excited,Reflective
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life a kick to rethink how i roll,Positive,Happy,Disconnected
bogged down by the heaviness of it all like my past is just a remix i made up panicked theres not enough time to do it all anxious im running out of chances makes me stress about not treasuring it enough creeped out by how fast time slips away like a nudge to fix whats broken lifes short and kinda unsettling,Neutral,Happy,Purpose-Driven
stressed about what hes missed out on in life like my past is just a remix i made up like times this big meaningless blur feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Happy,Disconnected
stressed about what hes missed out on in life like my past is just a remix i made up panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Excited,Disconnected
kinda detached just observing his own memories worried how my past looks to others like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Calm,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Positive,Sad,Disconnected
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away like a nudge to fix whats broken a kick to rethink how i roll,Positive,Calm,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Neutral,Excited,Purpose-Driven
kinda detached just observing his own memories worried how my past looks to others like times this big meaningless blur cant tell if thats freeing or scary too much to process how different life is now creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Negative,Anxious,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Negative,Sad,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Positive,Happy,Reflective
stressed about what hes missed out on in life like my past is just a remix i made up pumped to make every second count anxious im running out of chances samemy past isnt who i am nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Sad,Reflective
bogged down by the heaviness of it all worried how my past looks to others panicked theres not enough time to do it all feels like a chill acceptance of lifes flow pushes me to build better moments today nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Negative,Calm,Reflective
searching for meaning in his past like my past is just a remix i made up pumped to make every second count anxious im running out of chances pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Positive,Anxious,Reflective
bogged down by the heaviness of it all not sure whats legit anymore pumped to make every second count cant tell if thats freeing or scary makes me stress about not treasuring it enough inspired to live with more purpose stressed im not keeping up with life anxious my lifes not instaworthy,Positive,Anxious,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff like times this big meaningless blur feels like a chill acceptance of lifes flow samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Positive,Sad,Overwhelmed
bogged down by the heaviness of it all worried how my past looks to others panicked theres not enough time to do it all feels like a chill acceptance of lifes flow pushes me to build better moments today nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Negative,Happy,Disconnected
kinda detached just observing his own memories worried how my past looks to others panicked theres not enough time to do it all cant tell if thats freeing or scary makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Neutral,Calm,Disconnected
stressed about what hes missed out on in life not sure whats legit anymore kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today inspired to live with more purpose stressed im not keeping up with life a kick to rethink how i roll,Positive,Anxious,Purpose-Driven
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online ready to own my path not sure what to focus on anymore,Negative,Anxious,Purpose-Driven
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about like a nudge to fix whats broken anxious my lifes not instaworthy,Positive,Calm,Disconnected
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Neutral,Calm,Disconnected
stressed about what hes missed out on in life not sure whats legit anymore kinda zoned out like times whatever cant tell if thats freeing or scary samemy past isnt who i am mixed up about whats worth caring about overloaded by all the expectations lifes short and kinda unsettling,Negative,Calm,Disconnected
stressed about what hes missed out on in life like my past is just a remix i made up pumped to make every second count anxious im running out of chances samemy past isnt who i am nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Excited,Overwhelmed
stressed about what hes missed out on in life freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Neutral,Calm,Reflective
bogged down by the heaviness of it all like my past is just a remix i made up pumped to make every second count fired up to shake things up now makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Negative,Excited,FOMO
searching for meaning in his past worried how my past looks to others pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose ready to own my path a kick to rethink how i roll,Positive,Happy,Reflective
bogged down by the heaviness of it all like my past is just a remix i made up panicked theres not enough time to do it all anxious im running out of chances makes me stress about not treasuring it enough creeped out by how fast time slips away like a nudge to fix whats broken lifes short and kinda unsettling,Negative,Calm,FOMO
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now too much to process how different life is now nervous about how my life stacks up online ready to own my path lifes short and kinda unsettling,Neutral,Excited,Overwhelmed
stressed about what hes missed out on in life like my past is just a remix i made up like times this big meaningless blur feels like a chill acceptance of lifes flow too much to process how different life is now nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Positive,Excited,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Positive,Anxious,Purpose-Driven
stressed about what hes missed out on in life worried how my past looks to others like times this big meaningless blur fired up to shake things up now too much to process how different life is now mixed up about whats worth caring about stressed im not keeping up with life lifes short and kinda unsettling,Positive,Happy,FOMO
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever fired up to shake things up now makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken lifes short and kinda unsettling,Negative,Anxious,FOMO
bogged down by the heaviness of it all like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Negative,Calm,Reflective
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Positive,Calm,Overwhelmed
searching for meaning in his past like my past is just a remix i made up pumped to make every second count anxious im running out of chances pushes me to build better moments today nervous about how my life stacks up online stressed im not keeping up with life lifes short and kinda unsettling,Negative,Anxious,Overwhelmed
bogged down by the heaviness of it all like my past is just a remix i made up panicked theres not enough time to do it all anxious im running out of chances makes me stress about not treasuring it enough creeped out by how fast time slips away like a nudge to fix whats broken lifes short and kinda unsettling,Neutral,Calm,FOMO
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Negative,Happy,Purpose-Driven
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today mixed up about whats worth caring about overloaded by all the expectations a kick to rethink how i roll,Neutral,Anxious,FOMO
stressed about what hes missed out on in life freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Negative,Sad,Disconnected
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever fired up to shake things up now makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken lifes short and kinda unsettling,Negative,Anxious,Overwhelmed
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Positive,Excited,Overwhelmed
stressed about what hes missed out on in life freaked out that i might be losing the real stuff panicked theres not enough time to do it all feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about ready to own my path lifes short and kinda unsettling,Positive,Happy,Overwhelmed
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations not sure what to focus on anymore,Positive,Anxious,Overwhelmed
stressed about what hes missed out on in life worried how my past looks to others like times this big meaningless blur fired up to shake things up now too much to process how different life is now mixed up about whats worth caring about stressed im not keeping up with life lifes short and kinda unsettling,Neutral,Calm,Purpose-Driven
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever anxious im running out of chances too much to process how different life is now creeped out by how fast time slips away overloaded by all the expectations not sure what to focus on anymore,Neutral,Excited,Purpose-Driven
searching for meaning in his past worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary makes me stress about not treasuring it enough creeped out by how fast time slips away stressed im not keeping up with life a kick to rethink how i roll,Negative,Calm,Overwhelmed
searching for meaning in his past freaked out that i might be losing the real stuff kinda zoned out like times whatever feels like a chill acceptance of lifes flow makes me stress about not treasuring it enough inspired to live with more purpose like a nudge to fix whats broken a kick to rethink how i roll,Neutral,Excited,Purpose-Driven
kinda detached just observing his own memories not sure whats legit anymore panicked theres not enough time to do it all anxious im running out of chances pushes me to build better moments today mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Negative,Calm,Overwhelmed
searching for meaning in his past not sure whats legit anymore pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away ready to own my path lifes short and kinda unsettling,Neutral,Sad,Reflective
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online ready to own my path not sure what to focus on anymore,Positive,Excited,Reflective
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever cant tell if thats freeing or scary samemy past isnt who i am mixed up about whats worth caring about like a nudge to fix whats broken anxious my lifes not instaworthy,Negative,Happy,Reflective
searching for meaning in his past freaked out that i might be losing the real stuff panicked theres not enough time to do it all anxious im running out of chances pushes me to build better moments today creeped out by how fast time slips away overloaded by all the expectations lifes short and kinda unsettling,Positive,Excited,Overwhelmed
stressed about what hes missed out on in life like my past is just a remix i made up like times this big meaningless blur cant tell if thats freeing or scary samemy past isnt who i am nervous about how my life stacks up online ready to own my path a kick to rethink how i roll,Positive,Happy,Purpose-Driven
kinda detached just observing his own memories freaked out that i might be losing the real stuff panicked theres not enough time to do it all fired up to shake things up now samemy past isnt who i am creeped out by how fast time slips away stressed im not keeping up with life not sure what to focus on anymore,Positive,Happy,FOMO
bogged down by the heaviness of it all like my past is just a remix i made up pumped to make every second count feels like a chill acceptance of lifes flow too much to process how different life is now mixed up about whats worth caring about overloaded by all the expectations a kick to rethink how i roll,Neutral,Anxious,Purpose-Driven
bogged down by the heaviness of it all freaked out that i might be losing the real stuff pumped to make every second count feels like a chill acceptance of lifes flow samemy past isnt who i am inspired to live with more purpose stressed im not keeping up with life a kick to rethink how i roll,Negative,Calm,Reflective
kinda detached just observing his own memories worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary pushes me to build better moments today mixed up about whats worth caring about stressed im not keeping up with life a kick to rethink how i roll,Positive,Happy,FOMO
searching for meaning in his past not sure whats legit anymore pumped to make every second count fired up to shake things up now too much to process how different life is now creeped out by how fast time slips away ready to own my path lifes short and kinda unsettling,Neutral,Excited,Purpose-Driven
kinda detached just observing his own memories worried how my past looks to others kinda zoned out like times whatever cant tell if thats freeing or scary pushes me to build better moments today mixed up about whats worth caring about stressed im not keeping up with life a kick to rethink how i roll,Negative,Calm,Purpose-Driven
kinda detached just observing his own memories worried how my past looks to others panicked theres not enough time to do it all cant tell if thats freeing or scary makes me stress about not treasuring it enough mixed up about whats worth caring about ready to own my path a kick to rethink how i roll,Negative,Sad,FOMO
stressed about what hes missed out on in life worried how my past looks to others pumped to make every second count fired up to shake things up now samemy past isnt who i am nervous about how my life stacks up online ready to own my path not sure what to focus on anymore,Negative,Happy,Disconnected
bogged down by the heaviness of it all like my past is just a remix i made up kinda zoned out like times whatever fired up to shake things up now pushes me to build better moments today inspired to live with more purpose overloaded by all the expectations not sure what to focus on anymore,Positive,Happy,Purpose-Driven
stressed about what hes missed out on in life like my past is just a remix i made up panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Neutral,Excited,Overwhelmed
kinda detached just observing his own memories worried how my past looks to others kinda zoned out like times whatever anxious im running out of chances pushes me to build better moments today nervous about how my life stacks up online overloaded by all the expectations anxious my lifes not instaworthy,Neutral,Happy,Reflective
stressed about what hes missed out on in life like my past is just a remix i made up panicked theres not enough time to do it all cant tell if thats freeing or scary too much to process how different life is now nervous about how my life stacks up online ready to own my path anxious my lifes not instaworthy,Negative,Excited,Reflective
searching for meaning in his past not sure whats legit anymore pumped to make every second count feels like a chill acceptance of lifes flow pushes me to build better moments today mixed up about whats worth caring about stressed im not keeping up with life anxious my lifes not instaworthy,Negative,Sad,Purpose-Driven
bogged down by the heaviness of it all freaked out that i might be losing the real stuff kinda zoned out like times whatever cant tell if thats freeing or scary samemy past isnt who i am mixed up about whats worth caring about like a nudge to fix whats broken anxious my lifes not instaworthy,Negative,Sad,FOMO
